
 num     #instances         #bytes  class name
 130:            10            560  sun.invoke.util.Wrapper
 131:            23            552  [Lsun.management.DiagnosticCommandArgumentInfo;
 132:            23            552  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig
 133:             1            528  [Ljava.lang.Character;
 134:            22            528  com.sun.jmx.mbeanserver.NamedObject
 135:            22            528  java.lang.StringBuilder
 136:            33            528  java.util.concurrent.locks.ReentrantLock
 137:            22            528  sun.reflect.generics.tree.SimpleClassTypeSignature
 138:            13            520  java.lang.invoke.MethodHandleImpl$IntrinsicMethodHandle
 139:            21            504  java.util.Locale$LocaleKey
 140:             9            504  javax.management.openmbean.CompositeType
 141:            12            480  com.sun.jmx.mbeanserver.PerInterface
 142:            12            480  java.io.ObjectStreamClass$FieldReflector
 143:            20            480  java.lang.Class$AnnotationData
 144:            10            480  java.util.zip.Inflater
 145:            19            456  [Ljavax.management.MBeanParameterInfo;
 146:             6            456  [Lsun.invoke.util.Wrapper;
 147:            19            456  java.io.ObjectStreamClass$ClassDataSlot
 148:            14            448  java.io.FileOutputStream
 149:             8            448  javax.management.openmbean.OpenMBeanParameterInfoSupport
 150:             5            440  java.net.DualStackPlainSocketImpl
 151:            18            432  sun.misc.MetaIndex
 152:            13            416  java.lang.invoke.SimpleMethodHandle
 153:            13            416  java.rmi.server.UID
 154:            22            408  [Lsun.reflect.generics.tree.TypeArgument;
 155:            17            408  java.lang.management.ManagementPermission
 156:            10            400  java.lang.invoke.DirectMethodHandle$Accessor
 157:             7            392  java.util.ResourceBundle$CacheKey
 158:             1            384  com.intellij.rt.execution.application.AppMainV2$1
 159:            12            384  java.io.FileInputStream
 160:            12            384  java.lang.ThreadLocal$ThreadLocalMap$Entry
 161:             1            384  java.lang.ref.Finalizer$FinalizerThread
 162:             6            384  java.nio.DirectByteBuffer
 163:             1            384  java.util.logging.LogManager$Cleaner
 164:             1            376  java.lang.ref.Reference$ReferenceHandler
 165:            17            368  [Ljavax.management.MBeanNotificationInfo;
 166:            15            360  java.lang.RuntimePermission
 167:            15            360  javax.management.StandardMBean
 168:             5            352  [D
 169:            22            352  sun.reflect.generics.tree.ClassTypeSignature
 170:             7            336  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping
 171:            14            336  java.lang.invoke.LambdaFormEditor$Transform$Kind
 172:             6            336  java.nio.DirectLongBufferU
 173:             7            336  java.util.ResourceBundle$BundleReference
 174:             6            336  sun.management.MemoryPoolImpl
 175:            16            328  [Ljava.lang.management.PlatformComponent;
 176:             4            320  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 177:            10            320  java.lang.OutOfMemoryError
 178:            10            320  sun.security.jca.ProviderConfig
 179:            13            312  [Ljava.io.ObjectStreamClass$ClassDataSlot;
 180:            19            304  sun.reflect.BootstrapConstructorAccessorImpl
 181:            12            288  com.sun.jmx.remote.util.ClassLogger
 182:             9            288  java.io.DataOutputStream
 183:            12            288  java.lang.invoke.Invokers
 184:             9            288  java.security.Permissions
 185:            12            288  java.util.Collections$SingletonList
 186:             6            288  java.util.Properties
 187:             9            288  java.util.logging.Level
 188:             9            288  jdk.internal.org.objectweb.asm.Type
 189:             7            280  [Ljava.lang.reflect.Method;
 190:             5            280  sun.util.calendar.ZoneInfo
 191:             3            264  sun.rmi.transport.ConnectionInputStream
 192:            11            256  [Ljava.security.ProtectionDomain;
 193:             8            256  javax.management.MBeanNotificationInfo
 194:             8            256  sun.misc.ProxyGenerator$PrimitiveTypeInfo
 195:             8            248  [Ljava.lang.invoke.LambdaForm$BasicType;
 196:             6            240  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData;
 197:             6            240  java.io.ObjectOutputStream$HandleTable
 198:             6            240  java.lang.ClassLoader$NativeLibrary
 199:            10            240  java.util.zip.ZStreamRef
 200:             6            240  sun.management.MemoryPoolImpl$CollectionSensor
 201:             6            240  sun.management.MemoryPoolImpl$PoolSensor
 202:             6            240  sun.reflect.generics.repository.MethodRepository
 203:            10            240  sun.rmi.runtime.Log$LoggerLog
 204:             6            240  sun.rmi.transport.tcp.TCPEndpoint
 205:             7            224  java.lang.invoke.BoundMethodHandle$Species_L
 206:             7            224  java.net.Inet6Address
 207:             7            224  java.net.Inet6Address$Inet6AddressHolder
 208:             7            224  java.util.ResourceBundle$LoaderReference
 209:            13            216  [Ljavax.management.MBeanConstructorInfo;
 210:             9            216  java.net.Inet4Address
 211:             9            216  java.util.logging.Level$KnownLevel
